symbol,max_abs_overnight,suspicious_overnight_count_012,suspicious_overnight_count_020
000011.SZ,0.10548692991752297,0,0
000014.SZ,0.10542669480480124,0,0
000027.SZ,0.10558099851617729,0,0
000548.SZ,0.1057363848597706,0,0
000550.SZ,0.10544051245799696,0,0
000554.SZ,0.10629465864962306,0,0
000570.SZ,0.10548411741312853,0,0
000731.SZ,0.10558320800926449,0,0
000759.SZ,0.10594089872693285,0,0
000789.SZ,0.10525867747860485,0,0
000848.SZ,0.10581290200347408,0,0
000869.SZ,0.10548692991752322,0,0
000886.SZ,0.10585667046830222,0,0
000915.SZ,0.1054961916637328,0,0
000919.SZ,0.10543464189484193,0,0
000951.SZ,0.10561509814392646,0,0
000985.SZ,0.10552297199804221,0,0
002028.SZ,0.10565632988864772,0,0
002041.SZ,0.10569490790304226,0,0
002083.SZ,0.10622221325530767,0,0
002095.SZ,0.10552661481940745,0,0
002179.SZ,0.10544971774521415,0,0
002204.SZ,0.10576859564716617,0,0
002222.SZ,0.10571727627523839,0,0
002232.SZ,0.10574175851414054,0,0
002262.SZ,0.10528260066304605,0,0
002294.SZ,0.105600007935345,0,0
002304.SZ,0.10540199136343772,0,0
002362.SZ,0.1054801257291369,0,0
002365.SZ,0.10557057762687945,0,0
002372.SZ,0.1057116392569393,0,0
002393.SZ,0.1052934218270788,0,0
002394.SZ,0.10536051565782628,0,0
002419.SZ,0.10570175435760593,0,0
002457.SZ,0.10557190980299554,0,0
002463.SZ,0.10554602720645224,0,0
002484.SZ,0.10562893600570018,0,0
002561.SZ,0.10543271521744034,0,0
002641.SZ,0.10608227678623586,0,0
002646.SZ,0.10536051565782628,0,0
300024.SZ,0.18218670412029608,1,0
300105.SZ,0.1778869597260886,1,0
300204.SZ,0.15984870094189588,2,0
300258.SZ,0.1597739373816205,1,0
300321.SZ,0.15781951114079631,3,0
300333.SZ,0.1821434782608511,1,0
300354.SZ,0.14145384903285135,1,0
600004.SH,0.10545092748375476,0,0
600007.SH,0.10638040355857173,0,0
600011.SH,0.10834114379596395,0,0
600015.SH,0.09249206852310361,0,0
600016.SH,0.09259278682782489,0,0
600017.SH,0.10575884268958169,0,0
600028.SH,0.1058068446096678,0,0
600033.SH,0.10616019582839055,0,0
600085.SH,0.10713278018905087,0,0
600111.SH,0.10520642058085891,0,0
600123.SH,0.1057736534451527,0,0
600159.SH,0.10686314554236126,0,0
600192.SH,0.10699030351936444,0,0
600197.SH,0.10565764832974939,0,0
600235.SH,0.10575884268958169,0,0
600261.SH,0.11717568671575831,0,0
600262.SH,0.10551779782235325,0,0
600269.SH,0.1061900470202017,0,0
600298.SH,0.10547969806664374,0,0
600320.SH,0.10567893629417395,0,0
600377.SH,0.10506892796076114,0,0
600456.SH,0.10919929196499197,0,0
600495.SH,0.10626919359404441,0,0
600508.SH,0.10557600967870126,0,0
600519.SH,0.10536051565782616,0,0
600560.SH,0.10552416838710078,0,0
600563.SH,0.11231159019917643,0,0
600573.SH,0.10590091015895334,0,0
600583.SH,0.10576984845109803,0,0
600586.SH,0.10697211955216783,0,0
600600.SH,0.10529154776235436,0,0
600616.SH,0.10559250730716742,0,0
600642.SH,0.10455859099576523,0,0
600650.SH,0.10536051565782628,0,0
600660.SH,0.1054057021651429,0,0
600684.SH,0.10536051565782616,0,0
600692.SH,0.10608227678623597,0,0
600712.SH,0.10714463745132778,0,0
600742.SH,0.1053605156578264,0,0
600805.SH,0.10574175851414042,0,0
600808.SH,0.10651258951797157,0,0
600820.SH,0.10545722278038139,0,0
600838.SH,0.10573851604032761,0,0
600854.SH,0.10505277600314336,0,0
600897.SH,0.10518536897202975,0,0
600971.SH,0.10584583476465846,0,0
600992.SH,0.10586800107851231,0,0
600993.SH,0.10515029913403338,0,0
601038.SH,0.10605957196032434,0,0
601098.SH,0.11545227922461684,0,0
601179.SH,0.0997317050622023,0,0
601288.SH,0.07938502925456571,0,0
601328.SH,0.09753178582775057,0,0
601333.SH,0.10652263083800363,0,0
601398.SH,0.07800871016857214,0,0
601601.SH,0.10532514184505613,0,0
601607.SH,0.10101388051227847,0,0
601666.SH,0.10648348040245006,0,0
601668.SH,0.10393962837929109,0,0
601677.SH,0.1055558090868232,0,0
601800.SH,0.10536051565782628,0,0
601808.SH,0.1066841425883347,0,0
601898.SH,0.10607454639148318,0,0
601939.SH,0.09305369144559214,0,0
601958.SH,0.1055129430645693,0,0
601988.SH,0.0987159729391577,0,0
603000.SH,0.10547916776997288,0,0
603167.SH,0.10560528374129047,0,0
