date,factor,cum_intraday,cum_overnight,cum_daily
2013-01-04,1,0.04872435327353809,0.0,0.04872435327353809
2013-01-07,1,-0.032475067907526176,0.02286534532865673,-0.00960972257886944
2013-01-08,1,-0.08793369653424665,0.027695008011232813,-0.06023868852301384
2013-01-09,1,-0.10770685106617209,0.04913721610090771,-0.05856963496526438
2013-01-10,1,-0.13576622062957017,0.06405967814143256,-0.07170654248813761
2013-01-11,1,0.029406568678311124,0.05949220829764897,0.08889877697596009
2013-01-14,1,-0.25025504181266756,0.08781557396102276,-0.16243946785164481
2013-01-15,1,-0.3383325653695177,0.08392383562584474,-0.254408729743673
2013-01-16,1,-0.3140177100268432,0.09748979222421049,-0.21652791780263275
2013-01-17,1,-0.2504913610636547,0.11680664159990248,-0.13368471946375227
2013-01-18,1,-0.35725249156984007,0.0926497302844348,-0.2646027612854053
2013-01-21,1,-0.3858118085581796,0.07396851356060927,-0.3118432949975703
2013-01-22,1,-0.2799908463921623,0.08496717893316225,-0.19502366745900007
2013-01-23,1,-0.344845250046104,0.1107958389799521,-0.2340494110661519
2013-01-24,1,-0.1901329636509926,0.11607223034950633,-0.07406073330148627
2013-01-25,1,-0.17814003702286837,0.12219568711508187,-0.0559443499077865
2013-01-28,1,-0.3513076879479402,0.115171322236631,-0.2361363657113092
2013-01-29,1,-0.3799164557047579,0.11240947301048772,-0.2675069826942702
2013-01-30,1,-0.4097764814690327,0.1117617255723456,-0.29801475589668713
2013-01-31,1,-0.40581698151606427,0.12401654602155128,-0.281800435494513
2013-02-01,1,-0.45745508967184306,0.14021997705667963,-0.31723511261516346
2013-02-04,1,-0.41453044576741827,0.1257365238250826,-0.28879392194233566
2013-02-05,1,-0.5482404904896541,0.16994928709503634,-0.37829120339461764
2013-02-06,1,-0.5538422944311774,0.16978400716084296,-0.38405828727033436
2013-02-07,1,-0.5663895826763908,0.1776770494268098,-0.388712533249581
2013-02-08,1,-0.6775055761283894,0.1850421959056004,-0.4924633802227889
2013-02-18,1,-0.6545876869011392,0.14276450342975538,-0.5118231834713838
2013-02-19,1,-0.5343474142481158,0.14575812596266205,-0.38858928828545375
2013-02-20,1,-0.6561263915813624,0.14522024219992788,-0.5109061493814345
2013-02-21,1,-0.5181827142240323,0.20017231639374994,-0.3180103978302823
2013-02-22,1,-0.5109126690637216,0.21036795447596895,-0.30054471458775256
2013-02-25,1,-0.5398151072267449,0.20528416513976216,-0.3345309420869827
2013-02-26,1,-0.4486109085411092,0.2408344463565595,-0.2077764621845497
2013-02-27,1,-0.4402805661861513,0.22847007749867992,-0.2118104886874714
2013-02-28,1,-0.5824908632084285,0.20105267262155258,-0.381438190586876
2013-03-01,1,-0.6329241627452594,0.21122213209747492,-0.42170203064778466
2013-03-04,1,-0.4305101132084874,0.28438318953077435,-0.14612692367771324
2013-03-05,1,-0.5941940789031046,0.2909614909737052,-0.30323258792939956
2013-03-06,1,-0.6842642974937523,0.26059707068079707,-0.4236672268129553
2013-03-07,1,-0.6297869602053976,0.27012857580795313,-0.3596583843974446
2013-03-08,1,-0.5830214375735306,0.2761872233307086,-0.30683421424282215
2013-03-11,1,-0.5819489373240354,0.28245065150253057,-0.2994982858215049
2013-03-12,1,-0.3933895954037071,0.2867939787392784,-0.10659561666442871
2013-03-13,1,-0.3395768717514231,0.2994282580381426,-0.040148613713280504
2013-03-14,1,-0.3713293323692315,0.3244638593270105,-0.046865473042221
2013-03-15,1,-0.3780244596637197,0.3291579623103923,-0.04886649735332748
2013-03-18,1,-0.2551712230992894,0.36095760970875335,0.10578638660946382
2013-03-19,1,-0.29577451542958993,0.3629829412262744,0.06720842579668435
2013-03-20,1,-0.5066399769902719,0.36593639400562056,-0.14070358298465135
2013-03-21,1,-0.5393270222672076,0.36728389551877316,-0.17204312674843453
2013-03-22,1,-0.5717703904695425,0.3764095180007593,-0.19536087246878328
2013-03-25,1,-0.5796063224073374,0.36703935482018774,-0.21256696758714982
2013-03-26,1,-0.5235532900895852,0.38709847923564406,-0.13645481085394118
2013-03-27,1,-0.5315391470673649,0.3851510611716417,-0.14638808589572325
2013-03-28,1,-0.3800491649287926,0.45673831816258187,0.07668915323378925
2013-03-29,1,-0.3745139716973099,0.4516686851080659,0.07715471341075598
2013-04-01,1,-0.4129216291765944,0.4655676340379581,0.052646004861363616
2013-04-02,1,-0.36374436396966103,0.4643674992529278,0.10062313528326673
2013-04-03,1,-0.29884212472920946,0.4522532820302259,0.15341115730101645
2013-04-08,1,-0.3895352874718529,0.5557885670286516,0.16625327955679875
2013-04-09,1,-0.4380953952579066,0.5463669732196916,0.10827157796178508
2013-04-10,1,-0.4428263296523629,0.541449484807095,0.09862315515473213
2013-04-11,1,-0.3774492377711193,0.5081648624642354,0.1307156246931162
2013-04-12,1,-0.31779113203631637,0.5215625098989165,0.20377137786260016
2013-04-15,1,-0.23954750523933763,0.5390130440787992,0.2994655388394616
2013-04-16,1,-0.36796527847324617,0.6086958578964328,0.24073057942318649
2013-04-17,1,-0.3865140122835873,0.608048966430544,0.22153495414695656
2013-04-18,1,-0.43972485995458505,0.6503542903613638,0.21062943040677864
2013-04-19,1,-0.6115963706387162,0.646782325065663,0.035185954426946664
2013-04-22,1,-0.6592465606660051,0.692949815408566,0.03370325474256087
2013-04-23,1,-0.4289591388599192,0.696659242279279,0.2677001034193596
2013-04-24,1,-0.560169392131153,0.6940792447380283,0.13390985260687518
2013-04-25,1,-0.4685418936376944,0.7032617001474929,0.23471980650979846
2013-04-26,1,-0.3520332887933001,0.6908044637468902,0.3387711749535901
2013-05-02,1,-0.40272427894396895,0.7139365219874757,0.3112122430435068
2013-05-03,1,-0.505681900645938,0.6946260113030978,0.18894411065715983
2013-05-06,1,-0.6132763117354003,0.6741850188207488,0.06090870708534857
2013-05-07,1,-0.6516521538496193,0.6842949079268069,0.032642754077187724
2013-05-08,1,-0.6908363657206577,0.6746228307718019,-0.016213534948855635
2013-05-09,1,-0.7038571712253271,0.6803200740250437,-0.02353709720028329
2013-05-10,1,-0.7646997529395587,0.6890526454746624,-0.07564710746489627
2013-05-13,1,-0.8026064595668889,0.6912285648856572,-0.11137789468123171
2013-05-14,1,-0.7033397769819645,0.7106276817138133,0.007287904731848885
2013-05-15,1,-0.7732658097206304,0.7109355658283469,-0.06233024389228349
2013-05-16,1,-0.8525916842491571,0.7171756951874322,-0.1354159890617249
2013-05-17,1,-0.9821388782343443,0.718774411677244,-0.2633644665571002
2013-05-20,1,-1.0513829154696201,0.7054463593559718,-0.34593655611364826
2013-05-21,1,-1.1191912875276424,0.7150714702321334,-0.404119817295509
2013-05-22,1,-1.0796185166439907,0.7216979424335035,-0.3579205742104871
2013-05-23,1,-1.0271048526547861,0.7511801647442837,-0.27592468791050223
2013-05-24,1,-1.1098918180510646,0.7510417110773713,-0.358850106973693
2013-05-27,1,-1.1474806619925138,0.7492834093566321,-0.3981972526358814
2013-05-28,1,-1.1954394714607361,0.7504565329098298,-0.444982938550906
2013-05-29,1,-1.222988168228205,0.7457753147059314,-0.4772128535222735
2013-05-30,1,-1.239628464716562,0.7728318395870585,-0.46679662512950343
2013-05-31,1,-1.1892419380335315,0.7671513882267355,-0.422090549806796
2013-06-03,1,-1.1670272612774217,0.7641103664996569,-0.4029168947777647
2013-06-04,1,-1.0179548868088604,0.7762054460455917,-0.24174944076326862
2013-06-05,1,-1.0540359132052606,0.7857754131272541,-0.2682605000780064
2013-06-06,1,-0.9720763972301992,0.8061635939228672,-0.16591280330733194
2013-06-07,1,-0.8392890984647173,0.8012002280773117,-0.03808887038740541
2013-06-13,1,-0.6615181850201226,0.8795404772673475,0.21802229224722516
2013-06-14,1,-0.7460577230308367,0.8605307552383709,0.11447303220753441
2013-06-17,1,-0.7295563138920761,0.8447886493721324,0.11523233548005656
2013-06-18,1,-0.7472874143261719,0.8306815820710318,0.08339416774486025
2013-06-19,1,-0.7405118956269753,0.8618446397117797,0.12133274408480467
2013-06-20,1,-0.5457624215643491,0.9126492639911561,0.3668868424268073
2013-06-21,1,-0.6139066979179428,1.0318432968725872,0.41793659895464463
2013-06-24,1,-0.14914148218881973,1.0451287782992975,0.8959872961104781
2013-06-25,1,-0.1587599885683204,1.1222614014418413,0.9635014128735213
2013-06-26,1,-0.23600540595930508,1.1233409502806297,0.8873355443213252
2013-06-27,1,-0.12719068268923628,1.110093149258895,0.9829024665696593
2013-06-28,1,-0.19082337037043312,1.147962823621159,0.9571394532507264
2013-07-01,1,-0.3321560615748584,1.1718974305701892,0.8397413689953312
2013-07-02,1,-0.42567772730016595,1.1707943911930825,0.745116663892917
2013-07-03,1,-0.41603539446086996,1.200572336421274,0.7845369419604045
2013-07-04,1,-0.5346839266557719,1.244016322731534,0.7093323960757627
2013-07-05,1,-0.48986461730770836,1.2464240260678672,0.7565594087601594
2013-07-08,1,-0.3058858202417284,1.3475668470422901,1.0416810268005623
2013-07-09,1,-0.3770519344403885,1.3548740708874194,0.9778221364470314
2013-07-10,1,-0.6059465126428933,1.3625308560026472,0.7565843433597543
2013-07-11,1,-0.8354926286435727,1.3457047907640545,0.5102121621204823
2013-07-12,1,-0.7507411366726395,1.3567565267366075,0.6060153900639684
2013-07-15,1,-0.8675055858119579,1.344935406854353,0.4774298210423955
2013-07-16,1,-0.9369718373335856,1.3456992584316476,0.4087274210980625
2013-07-17,1,-0.8600733440259203,1.3665100743297294,0.5064367303038095
2013-07-18,1,-0.8300151917698582,1.3927000187273988,0.562684826957541
2013-07-19,1,-0.6450830713317643,1.390240605789298,0.745157534457534
2013-07-22,1,-0.7988073026699791,1.4465644040910874,0.6477571014211086
2013-07-23,1,-0.9803728969980227,1.4363612718367325,0.4559883748387102
2013-07-24,1,-0.989345905602835,1.4544246459150498,0.4650787403122153
2013-07-25,1,-0.9024280713334152,1.4426211494378174,0.5401930781044025
2013-07-26,1,-0.9050109386735566,1.4675098081614921,0.5624988694879357
2013-07-29,1,-0.826962565866837,1.5188039585828772,0.6918413927160405
2013-07-30,1,-0.8524382852513993,1.509260504482494,0.6568222192310951
2013-07-31,1,-0.8422139545029969,1.4780434635191855,0.635829509016189
2013-08-01,1,-1.0023132543154591,1.4433001026409316,0.44098684832547275
2013-08-02,1,-0.9934495593277209,1.403431633213733,0.4099820738860125
2013-08-05,1,-1.1221778478573305,1.410994028003141,0.2888161801458109
2013-08-06,1,-1.2010109674202807,1.4280090920477375,0.22699812462745728
2013-08-07,1,-1.136833799624194,1.4483654643192847,0.31153166469509114
2013-08-08,1,-1.1650829571564836,1.4656587340066414,0.3005757768501583
2013-08-09,1,-1.1818063327601525,1.438077732218363,0.2562713994582112
2013-08-12,1,-1.3394732514064085,1.4154683166462627,0.07599506523985491
2013-08-13,1,-1.3592642678649622,1.4207212116413246,0.06145694377636302
