panel_block,year,threshold_a,n_symbols,n_days,frac_jump_increments,frac_qv_explained_by_jumps,jump_corr_explained_by_first_factor,continuous_corr_explained_by_first_four
Balanced panel,2013,3.0,10,238,0.01832107843137255,0.25179151381706577,0.20399991119544245,0.5583153557285979
Balanced panel,2013,4.0,10,238,0.005619747899159664,0.13116578714740632,0.1761914826575596,0.5750329489116968
Balanced panel,2013,4.5,10,238,0.0031775210084033613,0.09559931326798295,0.1687142702204356,0.5809455319320849
Balanced panel,2013,5.0,10,238,0.00195203081232493,0.07087837921119253,0.147906300432569,0.584829825104408
Unbalanced panel,2013,3.0,10,238,0.025716886663632227,0.2772701897087029,0.2326831683739068,0.623586289638057
Unbalanced panel,2013,4.0,10,238,0.008069716279775452,0.16439226766395298,0.2325211297650788,0.6369577500900795
Unbalanced panel,2013,4.5,10,238,0.004608557123350023,0.06860679275152062,0.23252112976507883,0.6387315819881226
Unbalanced panel,2013,5.0,10,238,0.0028542709755727505,0.049851980725971565,0.23252112976507885,0.6400120014839852
