panel_block,year,return_component,K_hat,g_fn,gamma,er_1,er_2,er_3,er_4,er_5,er_6,er_7,er_8,er_9
Balanced panel,2013,hf,1,median_N,0.08,1.262163008367087,1.0061722530583768,1.0102150562665122,1.0025720315154787,1.0024362745790583,1.0090675912279365,1.0024322256581046,1.0041205422868145,1.011087301406389
Balanced panel,2013,continuous,1,median_N,0.08,1.2264410773233267,1.0046934637293008,1.0067947739490792,1.0025939297054585,1.0051285313537774,1.0013682237755113,1.002635537195515,1.000890919837718,1.0104770642179173
Balanced panel,2013,jump,1,median_N,0.08,1.0908641405321113,1.0077266109620238,1.0023668928261698,1.000465525042701,1.0066998170893438,1.0012153476472079,1.0092878856971232,1.0109912930680724,1.0065282340510493
Unbalanced panel,2013,hf,2,median_N,0.08,1.0642756509569675,1.1547523841215381,1.0092207003577316,1.0013181188083682,1.0068461394486186,1.0141988013550374,1.0017108936960306,1.0094850536634126,1.0036222013706848
Unbalanced panel,2013,continuous,2,median_N,0.08,1.083524176305996,1.1370291203370733,1.007905685507075,1.0017861114814062,1.0064777185169713,1.0092472584138474,1.0031451101674926,1.0065503342539472,1.0023072491808982
Unbalanced panel,2013,jump,1,median_N,0.08,1.1097027922137075,1.0416073733216997,1.0026178662486196,1.0022145802182056,1.0013091395104963,1.0019755801735162,1.0036167144883708,1.0022488678898507,1.0136734863993202
