year,threshold_a,n_symbols,n_days,frac_jump_increments,frac_qv_explained_by_jumps,jump_corr_explained_by_first_factor,continuous_corr_explained_by_first_four
2013,3.0,115,238,0.01697341980270369,0.20981320766427475,0.04774286010395315,0.24654880086497136
2013,4.0,115,238,0.004517567896723907,0.10052525960943712,0.03041388954824344,0.25702385774119263
2013,4.5,115,238,0.002556783582998417,0.07297977291841502,0.027555504380060415,0.25850276410723955
2013,5.0,115,238,0.0015223480696626476,0.052922000495653876,0.02796832117854671,0.2587844677444406
2014,3.0,115,245,0.016763531499556346,0.21145046696605338,0.028793019571946167,0.23200879544370684
2014,4.0,115,245,0.004693138124815144,0.10799736772776376,0.021640463073548225,0.2365430816600307
2014,4.5,115,245,0.0026929902395740903,0.07861617134951611,0.02075403183901641,0.2363999327072707
2014,5.0,115,245,0.001626737651582372,0.060998056346471756,0.020016574339051966,0.2359364916602021
2015,3.0,115,244,0.01924670349251604,0.22621161596049946,0.17946495340630308,0.49725100401415223
2015,4.0,115,244,0.005744387027797577,0.11478724050156361,0.1343570658255458,0.5172339040238528
2015,4.5,115,244,0.003370753148016156,0.0837830847951773,0.11826509069442925,0.5229288276382779
2015,5.0,115,244,0.0020447255880256593,0.06292463411374677,0.10710714664397963,0.5254180040443334
2016,3.0,115,244,0.01662434663815633,0.20915466163380256,0.10613389827754192,0.3856810422294757
2016,4.0,115,244,0.004450285103349964,0.100764993077387,0.07398411106564128,0.40510476722457966
2016,4.5,115,244,0.002436742694226657,0.07088837062215592,0.07505014542037289,0.4061476121303179
2016,5.0,115,244,0.0014218044666191494,0.05203016529234122,0.07824063832964705,0.4077789837403722
2017,3.0,115,244,0.01613655262532668,0.2315456344474828,0.03996523666721817,0.18920050114444742
2017,4.0,115,244,0.004356735566642908,0.12484101161912436,0.03530389223281135,0.19771491826271115
2017,4.5,115,244,0.002463471133285816,0.09337227447956518,0.03598532121122958,0.1993282016385497
2017,5.0,115,244,0.0014708066048942743,0.07380458739752606,0.03492517353092089,0.19954418311855243
2018,3.0,115,243,0.018043627363273095,0.21451327154795094,0.03547280676845215,0.2831760186450873
2018,4.0,115,243,0.004751893600524841,0.11803422425198262,0.021637902275399117,0.289239594069285
2018,4.5,115,243,0.002659241366970836,0.09057594509036307,0.020130846804513634,0.29037801900374005
2018,5.0,115,243,0.0015775034293552812,0.07348620470796893,0.017711070889423464,0.28996378411050744
2019,3.0,115,244,0.01770462105013067,0.21040196465800182,0.038200615165092475,0.256196751123914
2019,4.0,115,244,0.004482210738892848,0.11644234309320832,0.02550932150092821,0.2633801727690409
2019,4.5,115,244,0.002525095034449988,0.09126302495186585,0.02313698168936947,0.2638584734170136
2019,5.0,115,244,0.0015131266334046092,0.07415780492063899,0.024554974333564315,0.2639807396480978
2020,3.0,115,243,0.020845261525615794,0.20387667238677332,0.14737113359678422,0.2615644422352257
2020,4.0,115,243,0.005528717122920021,0.11717223383810892,0.1909138285023136,0.2678901091842753
2020,4.5,115,243,0.0030782191208922286,0.09570735617229179,0.21364821698459197,0.26814215207860526
2020,5.0,115,243,0.00186750760422258,0.07828480617388248,0.20501994331971993,0.2691058527178849
2021,3.0,115,243,0.021064442058805987,0.18214391867174665,0.018449953086332606,0.1696925981460716
2021,4.0,115,243,0.005755352776286754,0.09460927437069062,0.01614542193893725,0.17321568954470723
2021,4.5,115,243,0.0032638516132880062,0.07312379115184132,0.01993420428105872,0.1732729953076432
2021,5.0,115,243,0.0018861454046639231,0.05653445481704499,0.02494034656853291,0.17313036998491452
2022,3.0,115,242,0.017905587495508444,0.18379940677816867,0.027020332364445745,0.2514825317964427
2022,4.0,115,242,0.0045641693616001915,0.10324437137587703,0.02133461079123001,0.2561399108704625
2022,4.5,115,242,0.0025235058090789316,0.07920537888900306,0.025301226100368307,0.2558283029219937
2022,5.0,115,242,0.00150167684752665,0.06408925310958481,0.030165481075252923,0.2551657139732904
2023,3.0,115,242,0.018066534914361002,0.2009208137856949,0.040868828506338745,0.2158774798656016
2023,4.0,115,242,0.004220565337166127,0.1059460279817226,0.025013199512770798,0.22373779852150585
2023,4.5,115,242,0.0022180800095819857,0.08218035782238135,0.029004904748261125,0.2248297354737868
2023,5.0,115,242,0.0012621272008623786,0.06377302597053754,0.022038443312882464,0.2244198158573356
2024,3.0,115,242,0.019591418133908252,0.19775844727759903,0.07061387564554297,0.3911983319004397
2024,4.0,115,242,0.004758803449514912,0.10283266567296304,0.05426885586365916,0.4052598498611657
2024,4.5,115,242,0.0025556952928494432,0.07965167355973553,0.059548707604485066,0.40559359574011217
2024,5.0,115,242,0.0014687387711103126,0.06489939240383831,0.0674712578770712,0.4051973774086024
2025,3.0,115,243,0.023449335003280253,0.22310379674894606,0.03048737922187005,0.2732393760223806
2025,4.0,115,243,0.006219806763285024,0.12420757809903427,0.029774959064545796,0.2765144536778303
2025,4.5,115,243,0.0034144450408540587,0.09636691401270293,0.0345449640563791,0.27523846577909505
2025,5.0,115,243,0.002040466392318244,0.07945724424399403,0.030161144092902298,0.2740434702625109
