window_index,explained_variation
0,0.31638020528224164
1,0.31685814558597825
2,0.3124186025875748
3,0.31044109639095024
4,0.3123962941979336
5,0.31019193185656047
6,0.3090932144141753
7,0.3083182227969122
8,0.31237880839372345
9,0.32290415420687585
10,0.3220071609317257
11,0.3182190900534637
12,0.32474095322550417
13,0.33504142172161133
14,0.3331702564107057
15,0.313599849627555
16,0.3230924817552253
17,0.32523962871491563
18,0.3226328596747457
19,0.3235001501792412
20,0.3207081520177986
21,0.32456662949705184
22,0.32943617037472395
23,0.33186218116300525
24,0.3296926441333104
25,0.3293657226710326
26,0.32539235444896436
27,0.32619017520870053
28,0.32374763263408807
29,0.32273359305172455
30,0.30458803315019034
31,0.2934897747844834
32,0.2976594942871934
33,0.29594188866029597
34,0.2926492760307261
35,0.29440486953065126
36,0.29564303681149623
37,0.27662626727370176
38,0.27380644032014056
39,0.28941429495933013
40,0.28308911462731756
41,0.27903948332918355
42,0.27615749318524674
43,0.2734151555955484
44,0.27149567405349706
45,0.28978856360982563
46,0.28748046966801866
47,0.2945381631067939
48,0.2952320326214794
49,0.29886416850568703
50,0.3011738699006883
51,0.3007010726084286
52,0.3061146823610468
53,0.308119264828263
54,0.30367547528753713
55,0.3026176199659803
56,0.30263388317084927
57,0.3016615801368055
58,0.2988823657603834
59,0.30127317003243487
60,0.29007857078996957
61,0.28806465594676983
62,0.2917493524615099
63,0.2887456380803712
64,0.2905267348602583
65,0.2896060445124121
66,0.267821496109927
67,0.26505225127236176
68,0.26143729447525205
69,0.26905343322870745
70,0.26451469868027255
71,0.2542648875433938
72,0.25973520439836834
73,0.254796829990782
74,0.2558877268182824
75,0.26188047648328255
76,0.2601895641488765
77,0.26410652857545924
78,0.25965121073323766
79,0.2606710980089954
80,0.2586297900411203
81,0.27814342612758153
82,0.27840740050303625
83,0.2796828995294463
84,0.28017617937494693
85,0.2829743786313858
86,0.28782496687299913
87,0.3205301483994054
88,0.33411885933751534
89,0.3687950776531316
90,0.3622873906603266
91,0.3634231376922753
92,0.368937557158599
93,0.36619613827966147
94,0.36608896110627687
95,0.36932538793056613
96,0.3715122953114763
97,0.3715517587628228
98,0.3870578289871432
99,0.38931549252250264
100,0.38878414828198926
101,0.38985667217826014
102,0.38417746426647037
103,0.3860308205922681
104,0.3872836888174522
105,0.3940897264626249
106,0.38878675583582506
107,0.38869784903296495
108,0.37190618886275983
109,0.36497395792380344
110,0.33723598269850297
111,0.34111831484844657
112,0.3378079201168426
113,0.3382921064089479
114,0.3424820317579719
115,0.3416646447915708
116,0.33568321724963246
117,0.33351530504621985
118,0.33508475643933266
119,0.30461720599698333
120,0.3036561693429497
121,0.30622324535492884
122,0.3032763047383929
123,0.30049083480946354
124,0.29752570452682675
125,0.30130691188494824
126,0.28662606535639806
127,0.2975176509521218
128,0.29561632308928915
129,0.3009541241484554
130,0.2989434734103087
131,0.29654630047402525
132,0.2956030772107979
133,0.2942124386140084
134,0.2841664608771208
135,0.28571575544065625
136,0.28438727765030125
137,0.2860382779091848
138,0.2826326611729431
139,0.2806652249780606
140,0.2761301519195755
141,0.27435627216066816
142,0.2716220138605687
143,0.2728499063254677
144,0.2749367288784318
145,0.2748629160867626
146,0.2737985716809026
147,0.2783454398325476
148,0.27020659494253013
149,0.2681664902790606
150,0.26688949763809544
151,0.26630670676860346
152,0.2646138708751704
153,0.2651461142803352
154,0.2664806891762406
155,0.26730781579578244
156,0.26114816865536694
157,0.258990573618409
158,0.25349963936650216
159,0.2538246686526126
160,0.24730785082129422
161,0.2519843767527203
162,0.2529600382547675
163,0.26345502936113535
164,0.2652829442698008
165,0.26256707581866057
166,0.25819680462662176
167,0.2530983294530319
168,0.24949277243775692
169,0.24782977959360739
170,0.24945273545378038
171,0.2492916983229659
172,0.2614347762869001
173,0.26206376941579446
174,0.260243820695179
175,0.2723261804840932
176,0.2692641140442114
177,0.27533683089182454
178,0.2772609090792283
179,0.279434168998279
180,0.2755665598455186
181,0.277992280949396
182,0.2754926987523934
183,0.2771088072016322
184,0.2649890728260549
185,0.26400213338547984
186,0.26722759337231844
187,0.2723048087588676
188,0.2734039550737111
189,0.2759268830700928
190,0.2786322222258865
191,0.27318116031050577
192,0.2727852231497421
193,0.26425829632933673
194,0.26176435017367816
195,0.263779334869839
196,0.2778729347879184
197,0.28120622157707553
198,0.2751971937842903
199,0.2739910847984038
200,0.2740543472517115
201,0.27434465050737095
202,0.2822533808076007
203,0.28004900907273517
204,0.27891716091312674
205,0.278885057394728
206,0.28061338365710925
207,0.27697973551477584
208,0.2737954044369123
209,0.27467769193122976
210,0.2756175785450643
211,0.27960145784850404
212,0.29478919401268966
213,0.3015328033859227
214,0.30245557960585445
215,0.3052289848484799
216,0.30668964885814975
217,0.28171296437122784
