window_index,gc_1
0,0.997009020775842
1,0.9967253834273011
2,0.9968273000124845
3,0.9966896461954066
4,0.9958523797759948
5,0.9956173554332274
6,0.9952030361618985
7,0.9946889266116863
8,0.9948954709605022
9,0.9954916808089365
10,0.9960685644344487
11,0.9949902509185815
12,0.9934832204068849
13,0.9931956063268572
14,0.9972309258946809
15,0.9986235108149897
16,0.9948690718921744
17,0.9950665908654528
18,0.9953167194195941
19,0.9947336615595584
20,0.994710653024579
21,0.9946324393650626
22,0.993748687773372
23,0.9941999324399033
24,0.9937284358499957
25,0.9942955573716418
26,0.9946447956572944
27,0.9945874696306841
28,0.9951919735167759
29,0.9946798418277597
30,0.9922461982700705
31,0.9896025891419703
32,0.9887830425049776
33,0.987702743650504
34,0.986465967268964
35,0.9869280883969147
36,0.9885127187179403
37,0.9961469120590363
38,0.9964679550685843
39,0.9934395391256151
40,0.9889468183312435
41,0.9850466116119212
42,0.985626189288061
43,0.983231620209729
44,0.982993743361382
45,0.9822722479804981
46,0.9829494102680248
47,0.9830505235302007
48,0.9818634815542298
49,0.9811726603799917
50,0.9825242938379963
51,0.9822535522056726
52,0.9841489801734876
53,0.9842598681928401
54,0.9842577193013792
55,0.9844902072014311
56,0.9847188435129939
57,0.9840221703922842
58,0.984619627914739
59,0.9831863968431441
60,0.9856937230928537
61,0.9884891436615924
62,0.9936747047704283
63,0.9941139548718976
64,0.9945553809704604
65,0.9955210125862937
66,0.9969708474940497
67,0.9972808984352616
68,0.9976715542542367
69,0.9975183555403103
70,0.9961321808272386
71,0.9854683154273575
72,0.9900290258391816
73,0.9897644338115462
74,0.9898930375562881
75,0.989566140341096
76,0.9888495107951061
77,0.9893936513759692
78,0.9896672665591406
79,0.9918430426693103
80,0.9918604034948434
81,0.9946274109595599
82,0.9940984813798676
83,0.9934997876728282
84,0.9926190717495342
85,0.9933572319767651
86,0.9916233213440687
87,0.99253801842836
88,0.9938670530086926
89,0.9942833165226552
90,0.993247298490917
91,0.9937998470827024
92,0.9937336906281237
93,0.99442315462724
94,0.9934546836343753
95,0.9937688908361073
96,0.9943096135346763
97,0.9946659120885155
98,0.9962170718320986
99,0.9965462216950288
100,0.9967093753412734
101,0.99673673937827
102,0.9968650860040484
103,0.9968377747909354
104,0.9968182134340529
105,0.9974139278564383
106,0.9977218958710218
107,0.9978824406767431
108,0.9980834912923475
109,0.9973765486559576
110,0.9973307664974418
111,0.9965822018156311
112,0.9968759959105252
113,0.9948490920126234
114,0.9969499018135285
115,0.996752028098113
116,0.9965099992982063
117,0.9959702431131083
118,0.9966882395166393
119,0.9959822725013325
120,0.994942082422174
121,0.995752641090929
122,0.9952250478388012
123,0.9954786212039228
124,0.9953544492310723
125,0.9953871797260913
126,0.9946636587933062
127,0.9952022598938663
128,0.9959736622535156
129,0.995044153361049
130,0.9952906114871443
131,0.9945279497655525
132,0.994985564769146
133,0.9940500437275165
134,0.99634471623864
135,0.9953821708356279
136,0.9964642769686997
137,0.9958314071006817
138,0.9958923088250562
139,0.9965653992263982
140,0.9965314179747291
141,0.9968657407047312
142,0.9973191641237754
143,0.9969136151177188
144,0.9947017764797048
145,0.9963937257902009
146,0.9966638460264505
147,0.9972929669367129
148,0.9982559167648191
149,0.9982400365776709
150,0.9980048150061429
151,0.9977190018963067
152,0.997225549540805
153,0.9971824282159187
154,0.9975970289696634
155,0.9979630104402248
156,0.9975384202990116
157,0.9975271134017103
158,0.9969695228352762
159,0.9975935302856501
160,0.9944110733535773
161,0.9924259578936021
162,0.992626140246817
163,0.9923433754170532
164,0.9929386334136543
165,0.9912834761331101
166,0.9913378715877634
167,0.9899652688850089
168,0.9903836402876163
169,0.9907649077556544
170,0.993121374253848
171,0.9933365573686134
172,0.994249488781209
173,0.9952279596227024
174,0.9964105280650555
175,0.9962901057562814
176,0.9956511076858854
177,0.9961922365232591
178,0.996307631303258
179,0.9961949902833516
180,0.9952297838711034
181,0.9978005988541773
182,0.9975256219054203
183,0.9969019444834767
184,0.997436700154074
185,0.9966898125667142
186,0.995869963819038
187,0.9946539346951478
188,0.9941501005330254
189,0.9926183441443261
190,0.991568298043647
191,0.9896451579455465
192,0.9885169466908339
193,0.9842713988455591
194,0.9843326792675696
195,0.9795699720031785
196,0.9781172424989198
197,0.980146475689998
198,0.9776476083280704
199,0.9807164566891772
200,0.9812048068269832
201,0.9811196232657011
202,0.981320072559467
203,0.9814221634761476
204,0.98101726608105
205,0.9818531827754179
206,0.9838752478279161
207,0.9845655497365
208,0.9847093898458792
209,0.986707518538913
210,0.9904019772440308
211,0.9914374626850389
212,0.9916268091420036
213,0.9923153610495572
214,0.9919792954128719
215,0.9920767542552144
216,0.9926386492520582
217,0.9977555430518724
